ay,aylik_degisim_yuzde,endeks_2003_100,endeks_kaynak,oran_kaynak
2020-08,,472.62,T2,
2020-09,0.97,477.21,T2,T1
2020-10,2.13,487.38,T2,T1
2020-11,2.30,498.58,T2,T1
2020-12,1.25,504.81,T2,T1
2021-01,1.68,513.30,T2,T1
2021-02,0.91,517.96,T2,T1
2021-03,1.08,523.53,T2,T1
2021-04,1.68,532.32,T2,T1
2021-05,0.89,537.05,T2,T1
2021-06,1.94,547.48,T2,T1
2021-07,1.80,557.36,T2,T1
2021-08,1.12,563.60,T2,T1
2021-09,1.25,570.66,T2,T1
2021-10,2.39,584.32,T2,T1
2021-11,3.51,604.84,T2,T1
2021-12,13.58,686.95,T2,T1
2022-01,11.10,763.23,T2,T1
2022-02,4.81,799.93,T2,T1
2022-03,5.46,843.64,T2,T1
2022-04,7.25,904.79,T2,T1
2022-05,2.98,931.76,T2,T1
2022-06,4.95,977.90,T2,T1
2022-07,2.37,1001.03,T2,T1
2022-08,1.46,1015.65,T2,T1
2022-09,3.08,1046.89,T2,T1
2022-10,3.54,1084.00,T2,T1
2022-11,2.88,1115.26,T2,T1
2022-12,1.18,1128.45,T2,T1
2023-01,6.65,1203.48,T2,T1
2023-02,3.15,1241.33,T2,T1
2023-03,2.29,1269.75,T2,T1
2023-04,2.39,1300.04,T2,T1
2023-05,0.04,1300.60,T2,T1
2023-06,3.92,1351.59,T2,T1
2023-07,9.49,1479.84,T2,T1
2023-08,9.09,1614.31,T2,T1
2023-09,4.75,1691.04,T2,T1
2023-10,3.43,1749.11,T2,T1
2023-11,3.28,1806.50,T2,T1
2023-12,2.93,1859.38,T2,T1
2024-01,6.70,1984.02,T2,T1
2024-02,4.53,2073.88,T2,T1
2024-03,3.16,2139.47,T2,T1
2024-04,3.18,2207.50,T2,T1
2024-05,3.37,2281.85,T2,T1
2024-06,1.64,2319.29,T2,T1
2024-07,3.23,2394.10,T2,T1
2024-08,2.47,2453.34,T2,T1
2024-09,2.97,2526.16,T2,T1
2024-10,2.88,2598.91,T2,T1
2024-11,2.24,2657.23,T2,T1
2024-12,1.03,2684.55,T2,T1
2025-01,5.03,2819.65,T2,T1
2025-02,2.27,2883.75,T2,T1
2025-03,2.46,2954.69,T2,T1
2025-04,3.00,3043.23,T2,T1
2025-05,1.53,3089.74,T2,T1
2025-06,1.37,3132.17,T2,T1
2025-07,2.06,3196.66,T2,T1
2025-08,2.04,3261.72,T2,T1
2025-09,3.23,3367.22,T2,T1
2025-10,2.55,3453.09,T2,T1
2025-11,0.87,3482.96,T2,T1
2025-12,0.89,3513.87,T2,T1
2026-01,4.84,,,T1
2026-02,2.96,,,T1
2026-03,1.94,,,T1
2026-04,4.18,,,T1
2026-05,1.71,,,T1
2026-06,0.99,,,T1
2026-07,1.78,,,T1
2026-08,1.84,,,T1
