grup,agirlik,yillik_oran,yillik_katki,kaynak
Gida ve alkolsuz icecekler,24.44,33.79,8.12,S1+P1
Alkollu icecekler ve tutun,2.75,30.42,0.90,S1
Giyim ve ayakkabi,7.90,13.16,0.70,S1
"Konut, su, elektrik, gaz ve diger yakitlar",11.40,39.77,5.01,S1+P1
Mobilya ve ev esyalari,7.92,23.58,1.87,S1
Saglik,2.79,43.46,1.31,S1
Ulastirma,16.62,35.08,5.94,S1+P1
Bilgi ve iletisim,3.10,25.66,0.89,S1
"Eglence, dinlence, spor ve kultur",4.34,23.43,0.95,S1
Egitim hizmetleri,2.02,53.44,1.14,S1
Lokantalar ve konaklama hizmetleri,11.13,31.16,3.33,S1
Sigorta ve finansal hizmetler,1.07,25.08,0.32,S1
"Kisisel bakim, sosyal koruma ve cesitli mal ve hizmetler",4.49,23.65,1.03,S1
